#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
117653  -----   -----   Alpgen+Pythia6        Zee+3p(60<M<2000GeV)                 Sample_zjet_alppythia_ee
117654  -----   -----   Alpgen+Pythia6        Zee+4p(60<M<2000GeV)                 Sample_zjet_alppythia_ee
117655  -----   -----   Alpgen+Pythia6        Zee+5p(60<M<2000GeV)                 Sample_zjet_alppythia_ee

117660  -----   -----   Alpgen+Pythia6        Zmumu+0p(60<M<2000GeV)               Sample_zjet_alppythia_mm
117661  -----   -----   Alpgen+Pythia6        Zmumu+1p(60<M<2000GeV)               Sample_zjet_alppythia_mm
117662  -----   -----   Alpgen+Pythia6        Zmumu+2p(60<M<2000GeV)               Sample_zjet_alppythia_mm
117663  -----   -----   Alpgen+Pythia6        Zmumu+3p(60<M<2000GeV)               Sample_zjet_alppythia_mm
117664  -----   -----   Alpgen+Pythia6        Zmumu+4p(60<M<2000GeV)               Sample_zjet_alppythia_mm
117665  -----   -----   Alpgen+Pythia6        Zmumu+5p(60<M<2000GeV)               Sample_zjet_alppythia_mm

117670  -----   -----   Alpgen+Pythia6        Ztautau+0p(60<M<2000GeV)_2l_EF       Sample_zjet_alppythia_tt
117671  -----   -----   Alpgen+Pythia6        Ztautau+1p(60<M<2000GeV)_2l_EF       Sample_zjet_alppythia_tt
117672  -----   -----   Alpgen+Pythia6        Ztautau+2p(60<M<2000GeV)_2l_EF       Sample_zjet_alppythia_tt
117673  -----   -----   Alpgen+Pythia6        Ztautau+3p(60<M<2000GeV)_2l_EF       Sample_zjet_alppythia_tt
117674  -----   -----   Alpgen+Pythia6        Ztautau+4p(60<M<2000GeV)_2l_EF       Sample_zjet_alppythia_tt
117675  -----   -----   Alpgen+Pythia6        Ztautau+5p(60<M<2000GeV)             Sample_zjet_alppythia_tt

110817  -----   -----   Alpgen+Pythia6        Zee+bb+0p(30<M<10000GeV)             Sample_zjhf_alppythia_ee
110818  -----   -----   Alpgen+Pythia6        Zee+bb+1p(30<M<10000GeV)             Sample_zjhf_alppythia_ee
110819  -----   -----   Alpgen+Pythia6        Zee+bb+2p(30<M<10000GeV)             Sample_zjhf_alppythia_ee
110820  -----   -----   Alpgen+Pythia6        Zee+bb+3p(30<M<10000GeV)             Sample_zjhf_alppythia_ee
110821  -----   -----   Alpgen+Pythia6        Zmumubb+0p(30<M<10000)               Sample_zjhf_alppythia_mm
110822  -----   -----   Alpgen+Pythia6        Zmumubb+1p(30<M<10000)               Sample_zjhf_alppythia_mm
110823  -----   -----   Alpgen+Pythia6        Zmumubb+2p(30<M<10000)               Sample_zjhf_alppythia_mm
110824  -----   -----   Alpgen+Pythia6        Zmumubb+3p(30<M<10000)               Sample_zjhf_alppythia_mm
110825  -----   -----   Alpgen+Pythia6        Ztautaubb+0p(30<M<10000)             Sample_zjhf_alppythia_tt
110826  -----   -----   Alpgen+Pythia6        Ztautaubb+1p(30<M<10000)             Sample_zjhf_alppythia_tt
110827  -----   -----   Alpgen+Pythia6        Ztautaubb+2p(30<M<10000)             Sample_zjhf_alppythia_tt
110828  -----   -----   Alpgen+Pythia6        Ztautaubb+3p(30<M<10000)             Sample_zjhf_alppythia_tt

110805  -----   -----   Alpgen+Pythia6        Zee+cc+0p(30<M<10000GeV)             Sample_zjhf_alppythia_ee
110806  -----   -----   Alpgen+Pythia6        Zee+cc+1p(30<M<10000GeV)             Sample_zjhf_alppythia_ee
110807  -----   -----   Alpgen+Pythia6        Zee+cc+2p(30<M<10000GeV)             Sample_zjhf_alppythia_ee
110808  -----   -----   Alpgen+Pythia6        Zee+cc+3p(30<M<10000GeV)             Sample_zjhf_alppythia_ee

110809  -----   -----   Alpgen+Pythia6        Zmumucc+0p(30<M<10000)               Sample_zjhf_alppythia_mm
110810  -----   -----   Alpgen+Pythia6        Zmumucc+1p(30<M<10000)               Sample_zjhf_alppythia_mm
110811  -----   -----   Alpgen+Pythia6        Zmumucc+2p(30<M<10000)               Sample_zjhf_alppythia_mm
110812  -----   -----   Alpgen+Pythia6        Zmumucc+3p(30<M<10000)               Sample_zjhf_alppythia_mm
110813  -----   -----   Alpgen+Pythia6        Ztautaucc+0p(30<M<10000)             Sample_zjhf_alppythia_tt
110814  -----   -----   Alpgen+Pythia6        Ztautaucc+1p(30<M<10000)             Sample_zjhf_alppythia_tt
110815  -----   -----   Alpgen+Pythia6        Ztautaucc+2p(30<M<10000)             Sample_zjhf_alppythia_tt
110816  -----   -----   Alpgen+Pythia6        Ztautaucc+3p(30<M<10000)             Sample_zjhf_alppythia_tt

147105  -----   -----   Alpgen+Pythia6(Auto)  Zee+0p(60<M<2000GeV)                 Sample_zjet_alppythia_auto_ee
147106  -----   -----   Alpgen+Pythia6(Auto)  Zee+1p(60<M<2000GeV)                 Sample_zjet_alppythia_auto_ee
147107  -----   -----   Alpgen+Pythia6(Auto)  Zee+2p(60<M<2000GeV)                 Sample_zjet_alppythia_auto_ee
