#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
212272  -----   -----   UNKNOWN_GEN           TEMPORARY_ROBSAMPLE_REPLACE          Sample_ttbar
361491  -----   -----   Sherpa_CT10           Ztautau_Mll10to40_Pt400_E_CMS_BFilter    mc15_zjet_sherpa_lowm_tt

200920  -----   -----   Sherpa_CT10           llll                                     mc12_zz_sherpa
200922  -----   -----   Sherpa_CT10           llvv                                     mc12_zz_sherpa
200923  -----   -----   Sherpa_CT10           lllvSFMinus                              mc12_wz_sherpa
200924  -----   -----   Sherpa_CT10           lllvOFMinus                              mc12_wz_sherpa
200925  -----   -----   Sherpa_CT10           lllvSFPlus                               mc12_wz_sherpa
200926  -----   -----   Sherpa_CT10           lllvOFPlus                               mc12_wz_sherpa

361063  -----   -----   Sherpa_CT10           llll                                     mc15_zz_sherpa
361064  -----   -----   Sherpa_CT10           lllvSFMinus                              mc15_wz_sherpa
361065  -----   -----   Sherpa_CT10           lllvOFMinus                              mc15_wz_sherpa
361066  -----   -----   Sherpa_CT10           lllvSFPlus                               mc15_wz_sherpa
361067  -----   -----   Sherpa_CT10           lllvOFPlus                               mc15_wz_sherpa
361068  -----   -----   Sherpa_CT10           llvv                                     mc15_zz_sherpa

361069  -----   -----   Sherpa_CT10           llvvjj_ss_EW4                            mc15_vbs_sherpa
361070  -----   -----   Sherpa_CT10           llvvjj_ss_EW6                            mc15_vbs_sherpa
361071  -----   -----   Sherpa_CT10           lllvjj_EW6                               mc15_vbs_sherpa
361072  -----   -----   Sherpa_CT10           lllljj_EW6                               mc15_vbs_sherpa

361073  -----   -----   SherpaOpenLoops_CT10  ggllll_higgs								mc15_ggzz_sherpa_higgs
361075  -----   -----   SherpaOpenLoops_CT10  ggllll_NOhiggs							mc15_ggzz_sherpa_nohiggs
361076  -----   -----   SherpaOpenLoops_CT10  ggllll_higgsProp							mc15_ggzz_sherpa_higgsProp

361077  -----   -----   SherpaOpenLoops_CT10  ggllvv_higgs								mc15_ggzz_sherpa_higgs
361078  -----   -----   SherpaOpenLoops_CT10  ggllvv_NOhiggs							mc15_ggzz_sherpa_nohiggs
361079  -----   -----   SherpaOpenLoops_CT10  ggllvv_higgsProp							mc15_ggzz_sherpa_higgsProp


361607  -----   -----   PowhegPythiaEvtGen    WZqqll_mll20                             mc15_llqq_powheg
361610  -----   -----   PowhegPythiaEvtGen    ZZqqll_mqq20mll20                        mc15_llqq_powheg

361084  -----   -----   Sherpa_CT10           WqqZll                                   mc15_llqq_sherpa
361086  -----   -----   Sherpa_CT10           ZqqZll                                   mc15_llqq_sherpa

361620  -----   -----   Sherpa_CT10           WWW_3l3v                                 mc15_vvv_sherpa
361621  -----   -----   Sherpa_CT10           WWZ_4l2v                                 mc15_vvv_sherpa
361622  -----   -----   Sherpa_CT10           WWZ_2l4v                                 mc15_vvv_sherpa
361623  -----   -----   Sherpa_CT10           WZZ_5l1v                                 mc15_vvv_sherpa
361624  -----   -----   Sherpa_CT10           WZZ_3l3v                                 mc15_vvv_sherpa
361625  -----   -----   Sherpa_CT10           ZZZ_6l0v                                 mc15_vvv_sherpa
361626  -----   -----   Sherpa_CT10           ZZZ_4l2v                                 mc15_vvv_sherpa
361627  -----   -----   Sherpa_CT10           ZZZ_2l4v                                 mc15_vvv_sherpa

110070  -----   -----   PowhegPythia_P2012    singletop_tchan_lept_top                 mc12_SingleTop_Powheg
110071  -----   -----   PowhegPythia_P2012    singletop_tchan_lept_antitop             mc12_SingleTop_Powheg
110302  -----   -----   PowhegPythia_P2012    st_schan_lep                             mc12_SingleTop_Powheg
110305  -----   -----   PowhegPythia_P2012    st_Wtchan_incl_DR                        mc12_SingleTop_Powheg

110401  -----   -----   PowhegPythia_P2012    ttbar_nonallhad                          mc12_ttbar_powheg

184172  -----   -----   PowhegPythia_P2012    ttbar_nonallhad_mtt_1100_1300            mc12_ttbar_powheg_mttFilt
184173  -----   -----   PowhegPythia_P2012    ttbar_nonallhad_mtt_1300_1500            mc12_ttbar_powheg_mttFilt
184174  -----   -----   PowhegPythia_P2012    ttbar_nonallhad_mtt_1500_1700            mc12_ttbar_powheg_mttFilt
184175  -----   -----   PowhegPythia_P2012    ttbar_nonallhad_mtt_1700_2000            mc12_ttbar_powheg_mttFilt
184176  -----   -----   PowhegPythia_P2012    ttbar_nonallhad_mtt_2000p                mc12_ttbar_powheg_mttFilt

126741  -----   -----   Sherpa_CT10           enugammaPt80                             mc12_wgam_sherpa_g80
126744  -----   -----   Sherpa_CT10           munugammaPt80                            mc12_wgam_sherpa_g80
206289  -----   -----   Sherpa_CT10           munugammaPt7                             mc12_wgam_sherpa_g7
158727  -----   -----   Sherpa_CT10           WtaunugammaPt80                          mc12_wgam_sherpa_g80

158728  -----   -----   Sherpa_CT10           ZeegammaPt70                             mc12_zgam_sherpa_g70
158729  -----   -----   Sherpa_CT10           ZmumugammaPt70                           mc12_zgam_sherpa_g70
158730  -----   -----   Sherpa_CT10           ZtautaugammaPt70                         mc12_zgam_sherpa_g70

187401  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmenuenu                       mc12_ggww_gg2vv
187402  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmenumunu                      mc12_ggww_gg2vv
187403  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmenutaunu                     mc12_ggww_gg2vv
187404  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmmunuenu                      mc12_ggww_gg2vv
187405  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmmunumunu                     mc12_ggww_gg2vv
