#################################################################################################################
## File for samples that are not used really anymore (but we want to keep the info around)
## Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################

107695  -----   -----   Alpgen+Herwig         Wmunu+5p                             NO_SUBGROUP
107700  -----   -----   Alpgen+Herwig         Wtaunu+0p                            NO_SUBGROUP
107701  -----   -----   Alpgen+Herwig         Wtaunu+1p                            NO_SUBGROUP
107702  -----   -----   Alpgen+Herwig         Wtaunu+2p                            NO_SUBGROUP
107703  -----   -----   Alpgen+Herwig         Wtaunu+3p                            NO_SUBGROUP
107704  -----   -----   Alpgen+Herwig         Wtaunu+4p                            NO_SUBGROUP
107705  -----   -----   Alpgen+Herwig         Wtaunu+5p                            NO_SUBGROUP
107280  -----   -----   Alpgen+Herwig         Wbb+0p(nocut)                        NO_SUBGROUP
107281  -----   -----   Alpgen+Herwig         Wbb+1p(nocut)                        NO_SUBGROUP
107282  -----   -----   Alpgen+Herwig         Wbb+2p(nocut)                        NO_SUBGROUP
107283  -----   -----   Alpgen+Herwig         Wbb+3p(nocut)                        NO_SUBGROUP
117293  -----   -----   Alpgen+Herwig         Wc+0p(nocut)                         NO_SUBGROUP
117294  -----   -----   Alpgen+Herwig         Wc+1p(nocut)                         NO_SUBGROUP
117295  -----   -----   Alpgen+Herwig         Wc+2p(nocut)                         NO_SUBGROUP
117296  -----   -----   Alpgen+Herwig         Wc+3p(nocut)                         NO_SUBGROUP
117297  -----   -----   Alpgen+Herwig         Wc+4p(nocut)                         NO_SUBGROUP
117284  -----   -----   Alpgen+Herwig         Wcc+0p(nocut)                        NO_SUBGROUP
117285  -----   -----   Alpgen+Herwig         Wcc+1p(nocut)                        NO_SUBGROUP
117286  -----   -----   Alpgen+Herwig         Wcc+2p(nocut)                        NO_SUBGROUP
117287  -----   -----   Alpgen+Herwig         Wcc+3p(nocut)                        NO_SUBGROUP

107650  -----   -----   Alpgen+Herwig         Zee+0p(60<M<2000GeV)                 NO_SUBGROUP
107651  -----   -----   Alpgen+Herwig         Zee+1p(60<M<2000GeV)                 NO_SUBGROUP
107652  -----   -----   Alpgen+Herwig         Zee+2p(60<M<2000GeV)                 NO_SUBGROUP
107653  -----   -----   Alpgen+Herwig         Zee+3p(60<M<2000GeV)                 NO_SUBGROUP
107654  -----   -----   Alpgen+Herwig         Zee+4p(60<M<2000GeV)                 NO_SUBGROUP
107655  -----   -----   Alpgen+Herwig         Zee+5p(60<M<2000GeV)                 NO_SUBGROUP
107660  -----   -----   Alpgen+Herwig         Zmumu+0p(60<M<2000GeV)               NO_SUBGROUP
107661  -----   -----   Alpgen+Herwig         Zmumu+1p(60<M<2000GeV)               NO_SUBGROUP
107662  -----   -----   Alpgen+Herwig         Zmumu+2p(60<M<2000GeV)               NO_SUBGROUP
107663  -----   -----   Alpgen+Herwig         Zmumu+3p(60<M<2000GeV)               NO_SUBGROUP
107664  -----   -----   Alpgen+Herwig         Zmumu+4p(60<M<2000GeV)               NO_SUBGROUP
107665  -----   -----   Alpgen+Herwig         Zmumu+5p(60<M<2000GeV)               NO_SUBGROUP
107670  -----   -----   Alpgen+Herwig         Ztautau+0p(60<M<2000GeV)             NO_SUBGROUP
107671  -----   -----   Alpgen+Herwig         Ztautau+1p(60<M<2000GeV)             NO_SUBGROUP
107672  -----   -----   Alpgen+Herwig         Ztautau+2p(60<M<2000GeV)             NO_SUBGROUP
107673  -----   -----   Alpgen+Herwig         Ztautau+3p(60<M<2000GeV)             NO_SUBGROUP
107674  -----   -----   Alpgen+Herwig         Ztautau+4p(60<M<2000GeV)             NO_SUBGROUP
107675  -----   -----   Alpgen+Herwig         Ztautau+5p(60<M<2000GeV)             NO_SUBGROUP

146930  -----   -----   Alpgen+Herwig         Ztautau+0p(60<M<2000GeV)_2l_EF       NO_SUBGROUP
146931  -----   -----   Alpgen+Herwig         Ztautau+1p(60<M<2000GeV)_2l_EF       NO_SUBGROUP
146932  -----   -----   Alpgen+Herwig         Ztautau+2p(60<M<2000GeV)_2l_EF       NO_SUBGROUP
146933  -----   -----   Alpgen+Herwig         Ztautau+3p(60<M<2000GeV)_2l_EF       NO_SUBGROUP
146934  -----   -----   Alpgen+Herwig         Ztautau+4p(60<M<2000GeV)_2l_EF       NO_SUBGROUP

167320  -----   -----   Alpgen+Herwig         Zee+0p(60<M<2000GeV)_VBF_EF          NO_SUBGROUP
167321  -----   -----   Alpgen+Herwig         Zee+1p(60<M<2000GeV)_VBF_EF          NO_SUBGROUP
167322  -----   -----   Alpgen+Herwig         Zee+2p(60<M<2000GeV)_VBF_EF          NO_SUBGROUP
167323  -----   -----   Alpgen+Herwig         Zee+3p(60<M<2000GeV)_VBF_EF          NO_SUBGROUP
167324  -----   -----   Alpgen+Herwig         Zee+4p(60<M<2000GeV)_VBF_EF          NO_SUBGROUP
147078  -----   -----   Alpgen+Herwig         Zee+5p(60<M<2000GeV)                 NO_SUBGROUP
167330  -----   -----   Alpgen+Herwig         Zmumu+0p(60<M<2000GeV)_VBF_EF        NO_SUBGROUP
167331  -----   -----   Alpgen+Herwig         Zmumu+1p(60<M<2000GeV)_VBF_EF        NO_SUBGROUP
167332  -----   -----   Alpgen+Herwig         Zmumu+2p(60<M<2000GeV)_VBF_EF        NO_SUBGROUP
167333  -----   -----   Alpgen+Herwig         Zmumu+3p(60<M<2000GeV)_VBF_EF        NO_SUBGROUP
167334  -----   -----   Alpgen+Herwig         Zmumu+4p(60<M<2000GeV)_VBF_EF        NO_SUBGROUP
147086  -----   -----   Alpgen+Herwig         Zmumu+5p(60<M<2000GeV)               NO_SUBGROUP
167340  -----   -----   Alpgen+Herwig         Ztautau+0p(60<M<2000GeV)_VBF_EF      NO_SUBGROUP
167341  -----   -----   Alpgen+Herwig         Ztautau+1p(60<M<2000GeV)_VBF_EF      NO_SUBGROUP
167342  -----   -----   Alpgen+Herwig         Ztautau+2p(60<M<2000GeV)_VBF_EF      NO_SUBGROUP
167343  -----   -----   Alpgen+Herwig         Ztautau+3p(60<M<2000GeV)_VBF_EF      NO_SUBGROUP
167344  -----   -----   Alpgen+Herwig         Ztautau+4p(60<M<2000GeV)_VBF_EF      NO_SUBGROUP
147094  -----   -----   Alpgen+Herwig         Ztautau+5p(60<M<2000GeV)             NO_SUBGROUP
169450  -----   -----   Alpgen+Herwig         Ztautau+0p(60<M<2000GeV)_2l_VBF_EF   NO_SUBGROUP
169451  -----   -----   Alpgen+Herwig         Ztautau+1p(60<M<2000GeV)_2l_VBF_EF   NO_SUBGROUP
169452  -----   -----   Alpgen+Herwig         Ztautau+2p(60<M<2000GeV)_2l_VBF_EF   NO_SUBGROUP
169453  -----   -----   Alpgen+Herwig         Ztautau+3p(60<M<2000GeV)_2l_VBF_EF   NO_SUBGROUP
169454  -----   -----   Alpgen+Herwig         Ztautau+4p(60<M<2000GeV)_2l_VBF_EF   NO_SUBGROUP
169455  -----   -----   Alpgen+Herwig         Ztautau+5p(60<M<2000GeV)_2l_VBF_EF   NO_SUBGROUP

146830  -----   -----   Alpgen+Herwig         Zee+0p(10<M<60GeV)                   NO_SUBGROUP
146831  -----   -----   Alpgen+Herwig         Zee+1p(10<M<60GeV)                   NO_SUBGROUP
146832  -----   -----   Alpgen+Herwig         Zee+2p(10<M<60GeV)                   NO_SUBGROUP
146833  -----   -----   Alpgen+Herwig         Zee+3p(10<M<60GeV)                   NO_SUBGROUP
146834  -----   -----   Alpgen+Herwig         Zee+4p(10<M<60GeV)                   NO_SUBGROUP
146835  -----   -----   Alpgen+Herwig         Zee+5p(10<M<60GeV)                   NO_SUBGROUP
146840  -----   -----   Alpgen+Herwig         Zmumu+0p(10<M<60GeV)                 NO_SUBGROUP
146841  -----   -----   Alpgen+Herwig         Zmumu+1p(10<M<60GeV)                 NO_SUBGROUP
146842  -----   -----   Alpgen+Herwig         Zmumu+2p(10<M<60GeV)                 NO_SUBGROUP
146843  -----   -----   Alpgen+Herwig         Zmumu+3p(10<M<60GeV)                 NO_SUBGROUP
146844  -----   -----   Alpgen+Herwig         Zmumu+4p(10<M<60GeV)                 NO_SUBGROUP
146845  -----   -----   Alpgen+Herwig         Zmumu+5p(10<M<60GeV)                 NO_SUBGROUP
146850  -----   -----   Alpgen+Herwig         Ztautau+0p(10<M<60GeV)               NO_SUBGROUP
146851  -----   -----   Alpgen+Herwig         Ztautau+1p(10<M<60GeV)               NO_SUBGROUP
146852  -----   -----   Alpgen+Herwig         Ztautau+2p(10<M<60GeV)               NO_SUBGROUP
146853  -----   -----   Alpgen+Herwig         Ztautau+3p(10<M<60GeV)               NO_SUBGROUP
146854  -----   -----   Alpgen+Herwig         Ztautau+4p(10<M<60GeV)               NO_SUBGROUP
146855  -----   -----   Alpgen+Herwig         Ztautau+5p(10<M<60GeV)               NO_SUBGROUP

146860  -----   -----   Alpgen+Herwig         Zee+0p(10<M<60GeV)_2l_EF             NO_SUBGROUP
146861  -----   -----   Alpgen+Herwig         Zee+1p(10<M<60GeV)_2l_EF             NO_SUBGROUP
146862  -----   -----   Alpgen+Herwig         Zee+2p(10<M<60GeV)_2l_EF             NO_SUBGROUP
